0.64,0.56,0.56,0.56,0.56,0.56,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.72,0.72,0.96,0.72,0.72,1.28,1.04,0.96,1.04,1.2,1.2,0.88,0.88,1.2,1.28,1.36,1.28,1.04,1.36,1.2,1.44,Inf,1.44,1.92,Inf,Inf,1.76,Inf,1.76,Inf,1.44,Inf,Inf,Inf,Inf,Inf,1.76,Inf,1.92,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
3432,3575,3575,3575,3575,3575,3540.3,3504.2,3430.8,3420.7,3217.8,3107.1,2937.8,3217.1,3075.4,2954.9,2027.2,2318.1,2677.4,2816.2,1811.2,1966.5,1881.6,2076.5,1587.5,1502.5,2089.7,1947.4,1632.7,1652.3,1499.1,1514.9,1698.3,1424.4,1455.5,1256.4,825.54,1335.8,1039.7,941.56,599.46,1127.5,854.22,1072.5,827.59,1259.4,781.11,990.49,897.24,862.5,795.06,1083.2,937.82,1050.6,692.29,863.72,808.43,720.31,578.3,594.79,674.39,632.38,639.55,647.7,622.61,402.84,590.15,600.04,550.65,629.62,635.28,739.18,517.53,779.22,587.05,669.11,624.16,700.36,532.63,402.06,503.61,475.87,628.38,395.25,530.96,526.48,495.97,410.02,541.69,346.2,371.5,456.29,329.18,429.73,434.21,496.2,418.41,379.25,316.81,314.15
3432,3575,3575,3575,3575,3575,3540.3,3504.2,3468.1,3432,3395.9,3359.8,3323.7,3287.6,3251.4,3215.3,3179.2,3143.1,3107,3070.9,3034.8,2998.7,2962.6,2926.4,2890.3,2854.2,2818.1,2782,2745.9,2709.8,2673.7,2637.6,2601.4,2565.3,2529.2,2493.1,2457,2420.9,2384.8,2348.7,2312.6,2276.4,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275
0.0012,0.006,0.0116,0.0152,0.0232,0.03,0.0404,0.06,0.078,0.0924,0.1084,0.1456,0.1788,0.1536,0.2044,0.1944,0.3248,0.2828,0.3368,0.2828,0.3796,0.446,0.5496,0.508,0.6308,0.5924,0.6296,0.7188,0.7168,0.9648,0.6768,0.918,0.9072,1.06,1.0136,1.3584,1.0724,1.3516,1.3984,1.212,1.6412,1.362,1.7044,1.8252,1.9336,1.7872,1.9192,2.1132,1.7468,2.5052,2.0844,2.2376,2.6128,2.4652,2.4528,2.3188,3.0152,3.21,2.7048,3.0748,3.2972,3.8228,3.448,3.546,3.7896,3.642,4.012,5.28,4.1912,3.6768,4.818,4.5672,4.694,4.828,5.3984,4.8228,5.6808,4.594,5.3768,5.792,5.8444,6.4532,6.0236,5.7476,6.0992,6.7752,7.3704,6.2412,6.7652,6.8744,8.4428,6.4864,8.6836,7.444,9.0344,8.9804,7.7648,8.0924,7.9016,7.26
